Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Brasemstraat 10,Eemnes,560000,124.0,2004,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Horsterweg 31,Leusden,995000,251.0,,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,"Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Wederik 86,Uithoorn,525000,128.0,1990,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Hulsbergstraat 41,Tilburg,475000,138.0,1990,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Duinenberg 14,Beegden,1195000,327.0,2012,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,A,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Patio/atrium
Gaffellaan 21,Maastricht,539000,135.0,1998,Bestaande bouw,"Eengezinswoning, hoekwoning",Lessenaardak,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Zoeterwoudseweg 106,Leiden,475000,102.0,1951,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin
Molenstraat 37,Maasbree,795000,247.0,2006,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,In centrum en landelijk gelegen,Tuin rondom
Iepenlaan 7,Marum,250000,90.0,1974,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In woonwijk,Achtertuin en voortuin
Hogesteeg 17,Driebergen-Rijsenburg,689000,129.0,1932,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,F,In woonwijk,Achtertuin en voortuin
Vlierstraat 19,Sint-Michielsgestel,319000,82.0,1963,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Parkstraat 13,Zoelen,669000,152.0,1956,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en vrij uitzicht,Tuin rondom
Eikenlaan 18,Nieuwleusen,650000,145.0,1974,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,E,Aan rustige weg en vrij uitzicht,Tuin rondom
Molenstraat 1 B,Monster,295000,54.0,1997,Bestaande bouw,,Zadeldak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,C,In centrum en in woonwijk,
Robert Hofstadterstraat 11,Almere,510000,123.0,2021,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+++,In woonwijk,Achtertuin en voortuin
Looierstraat 38,Voerendaal,410000,104.0,2001,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",
de Weertjes 1148,Wijchen,695000,178.0,1988,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer,1 woonlaag,A,Aan rustige weg en in woonwijk,Achtertuin
Wessel Couzijnhof 33,Arnhem,685000,157.0,2005,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met riet,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin"
Bloys van Treslongstraat 24 3,Amsterdam,950000,126.0,,Bestaande bouw,,Plat dak,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,C,Aan rustige weg,
de Gouwe 33,Landsmeer,2125000,347.0,1965,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,9 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,1 woonlaag,B,"Aan rustige weg, aan vaarwater, aan water, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin"
Louis Couperussingel 19,Amstelveen,800000,153.0,1996,Bestaande bouw,"Eengezinswoning, geschakelde woning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+,In woonwijk,Achtertuin en voortuin
Vierakkerstraat 35,Huissen,275000,67.0,1947,Bestaande bouw,,Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,G,Beschutte ligging en in centrum,
van Wijkstraat 10,Huissen,665000,167.0,1990,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin"
Pomona 48,Bemmel,442500,132.0,1997,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin
Rietkamp 6,Huissen,545000,181.0,1927,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom
Rietbaan 82,Huissen,645000,161.0,1997,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Lessenaardak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,C,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Jacob Binckesstraat 13,Leeuwarden,210000,87.0,1923,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Molenstraat 13 a,Angeren,650000,165.0,1955,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",E,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin"
Mast 3,Huissen,597000,218.0,1979,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,Beschutte ligging,Achtertuin en zijtuin
Poelsestraat 11,Angeren,365000,111.0,1965,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Gochsestraat 22,Huissen,675000,151.0,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Gochsestraat 5 b,Huissen,779000,182.0,2002,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin"
Kiel 5,Meppel,325000,83.0,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zonneterras"
Frees 14,Huissen,622500,143.0,1994,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Vondelstraat 14,Nijmegen,450000,106.0,1900,Bestaande bouw,,Plat dak,4 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,E,"Aan rustige weg, beschutte ligging, in centrum en in woonwijk",Achtertuin en voortuin
Zuideinde 65,Landsmeer,1165000,255.0,,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (7 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,E,"Beschutte ligging, in woonwijk, open ligging en vrij uitzicht",Tuin rondom
Van Calcarlaan 21,Wassenaar,1490000,271.0,1977,Bestaande bouw,"Villa, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen en een kelder,C,"Aan bosrand, aan rustige weg en beschutte ligging","Achtertuin, voortuin en zijtuin"
A. Jacobsstraat 163,Groningen,439000,115.0,1991,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",
Notaris van Aalstweg 7,Waardenburg,425000,115.0,1970,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Tuin rondom
Boskamphoek 41,Enschede,419000,114.0,1985,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin
Händellaan 38,Den Haag,575000,191.0,1941,Bestaande bouw,,,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,D,"Aan rustige weg, aan water en in woonwijk",
Klipper 2,Sint-Annaland,629000,238.0,2008,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,9 kamers (8 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Tuin rondom
Van Bossestraat 22,Vlissingen,345000,115.0,1994,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Schansbaan 219,Zoetermeer,500000,175.0,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,A,In woonwijk,Achtertuin en voortuin
Lijsterlaan 20,IJmuiden,445000,87.0,1927,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin"
Vriezenveenseweg 5,Gapinge,799000,134.0,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,Aan rustige weg,"Achtertuin, tuin rondom, voortuin en zijtuin"
Willem de Zwijgerlaan 47,Den Haag,800000,209.0,1908,Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking en leisteen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,F,"Aan drukke weg, in woonwijk en vrij uitzicht",
Van Hoorns Houtweg 12,Huizen,945000,200.0,1965,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,"Aan bosrand, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Achter de Gracht 3,Huissen,645000,184.0,1993,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, beschutte ligging en in centrum","Achtertuin, tuin rondom, voortuin en zijtuin"
IJsselkade 78,Kampen,390000,106.0,1910,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 3 aparte toiletten,3 woonlagen,E,Aan water en in centrum,Zonneterras
Boudaenlaan 4,Middelburg,420000,115.0,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,F,In woonwijk,"Achtertuin, voortuin en zijtuin"
Theresialaan 14,Vught,595000,140.0,1931,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin"
Schildstraat 23,Erp,399500,134.0,1958,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan drukke weg en in centrum,"Achtertuin, voortuin en zijtuin"
Tubantiastraat 32,Enschede,239000,66.0,1979,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Laan van Oceanië 10,Drunen,560000,139.0,2008,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Boven Nieuwstraat 9,Kampen,350000,149.0,1900,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer,3 woonlagen,E,In centrum,Achtertuin
Hogeweg 1 b,Maashees,799000,251.0,2004,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers,2 woonlagen en een vliering,A,Aan rustige weg,Achtertuin en voortuin
Jan Steenstraat 24,Haaksbergen,210000,117.0,1966,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin
Prins Hendrikstraat 10,Alkmaar,650000,139.0,1913,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin
Achterstraat 15,Hoorn (NH),309000,50.0,1830,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,In centrum,Patio/atrium
It Merkelân 56,Beetsterzwaag,350000,90.0,1991,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,"Aan bosrand, aan park, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht",
Torenstraat 51,Castricum,695000,179.0,1938,Bestaande bouw,"Eengezinswoning, hoekwoning",Schilddak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,D,In centrum,"Achtertuin, voortuin en zijtuin"
Spijkerboorweg 221,Haarlem,475000,97.0,2018,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,14 woonlagen,A,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",
Pentatlon 3,Assendelft,625000,171.0,2009,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Lonbar Petrilaan 3,Overveen,4375000,476.0,1937,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,12 kamers (7 slaapkamers),4 badkamers en 3 aparte toiletten,4 woonlagen,C,"Aan park, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk, landelijk gelegen en vrij uitzicht",Tuin rondom en zonneterras
Van Lyndenlaan 26,Loenen aan de Vecht,850000,178.0,1963,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, in bosrijke omgeving, in woonwijk en landelijk gelegen","Achtertuin, tuin rondom, voortuin en zijtuin"
Herenweg 13,Vinkeveen,1875000,331.0,2006,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,7 kamers (3 slaapkamers),3 badkamers en 2 aparte toiletten,3 woonlagen en een vliering,B,"Aan rustige weg, aan vaarwater, aan water, beschutte ligging en in centrum",Tuin rondom
Duindoornlaan 25,Haarlem,995000,159.0,1956,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,D,In woonwijk,"Achtertuin, voortuin en zijtuin"
Lintveldseweg 4,Eibergen,950000,233.0,1981,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,C,"Aan bosrand, aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom
Sterappel 36,Barneveld,450000,87.0,2006,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,In woonwijk,
Groenland 9,Krimpen aan de Lek,435000,152.0,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin"
Omgang 20,Wouw,375000,107.0,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin
Willem ten Rijnestraat 2,Deventer,339000,111.0,1914,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,E,Aan rustige weg en in woonwijk,Achtertuin
Rijnstraat 3,Eindhoven,520000,121.0,1935,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Beschutte ligging en in woonwijk,Achtertuin en voortuin
Boskantseweg 11,Sint-Oedenrode,700000,164.0,1948,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en riet,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin
Kapelstraat 41,Molenschot,995000,225.0,1971,Bestaande bouw,"Bungalow, vrijstaande woning",Schilddak bedekt met bitumineuze dakbedekking en pannen,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,E,"Aan rustige weg, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom
Joost Ivanghlaan 2 N,Bergen (NH),1175000,175.0,2021,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,A++,"Beschutte ligging, in centrum, in woonwijk en vrij uitzicht",
Wijde Wormer 128,Capelle aan den IJssel,395000,91.0,2010,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,"Aan park, aan water en vrij uitzicht",
Piet Slagerstraat 36,Den Bosch,425000,104.0,2002,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,,
Steendijk 125,Assen,549000,145.0,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Gorsselhof 11,Tilburg,545000,166.0,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Coreanna 83,Geldermalsen,515000,145.0,1993,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Kraaiendijk 4,Heijningen,769000,218.0,1910,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom
Oranje Nassauplein 31,Eerbeek,255000,90.0,1970,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, in bosrijke omgeving, in centrum en in woonwijk",
Rikki Visserstraat 1,Almere,750000,196.0,2005,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan vaarwater, aan water en in woonwijk","Achtertuin, tuin rondom en voortuin"
Geelster 45,Oldenzaal,465000,141.0,1987,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Mauritsweg 25,Stein,425000,147.0,1957,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,D,,"Achtertuin, voortuin en zijtuin"
Xanthippehof 6,Eindhoven,725000,182.0,1991,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,E,Aan rustige weg,Achtertuin en voortuin
Prometheusstraat 8,Rotterdam,575000,139.0,1999,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,In woonwijk,Patio/atrium
Velperplein 12 -25,Arnhem,775000,180.0,2006,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,A,In centrum en vrij uitzicht,Zonneterras
Woude 36 D,de Woude,950000,297.0,2020,Bestaande bouw,"Landhuis, vrijstaande woning",Dwarskap bedekt met pannen,9 kamers (8 slaapkamers),3 badkamers en 1 apart toilet,2 woonlagen en een vliering,A+++,Landelijk gelegen,Tuin rondom
Djeddalaan 158,Rotterdam,359000,89.0,1998,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,Aan rustige weg en in woonwijk,
Molenbroeklaan 16,Honselersdijk,950000,190.0,1950,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een vliering en een kelder",E,Aan rustige weg en vrij uitzicht,"Achtertuin, voortuin en zijtuin"
Griegplein 94,Schiedam,200000,55.0,1970,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,E,"Aan park, aan rustige weg en vrij uitzicht",
Burgemeester Colijnstraat 69,Boskoop,625000,173.0,1937,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, aan water, in centrum en vrij uitzicht",Achtertuin en zijtuin
Larikslaan 183,Rotterdam,795000,151.0,1933,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Kruiswoud 24,Oosthuizen,525000,108.0,1997,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
